"","status","loan_amnt","term","annual_inc","dti","payment_inc_ratio","revol_bal","revol_util","purpose","home_ownership","delinq_2yrs_zero","pub_rec_zero","open_acc","grade","outcome","emp_length","purpose_","home_","emp_len_","borrower_score"
"1","Charged Off",2500,"60 months",30000,1,2.3932,1687,9.4,"car","RENT",1,1,3,4.8,"default",1,"major_purchase","RENT"," > 1 Year",0.65
"2","Charged Off",5600,"60 months",40000,5.55,4.5717,5210,32.6,"small_business","OWN",1,1,11,1.4,"default",5,"small_business","OWN"," > 1 Year",0.8
"3","Charged Off",5375,"60 months",15000,18.08,9.716,9279,36.5,"other","RENT",1,1,2,6,"default",1,"other","RENT"," > 1 Year",0.6
"4","Charged Off",9000,"36 months",30000,10.08,12.2152,10452,91.7,"debt_consolidation","RENT",1,1,4,4.2,"default",1,"debt_consolidation","RENT"," > 1 Year",0.5
"5","Charged Off",10000,"36 months",100000,7.06,3.90888,11997,55.5,"other","RENT",1,1,14,5.4,"default",4,"other","RENT"," > 1 Year",0.55
"6","Charged Off",21000,"36 months",105000,13.22,8.01977,32135,90.3,"debt_consolidation","RENT",1,1,7,5.8,"default",11,"debt_consolidation","RENT"," > 1 Year",0.4
"7","Charged Off",6000,"36 months",76000,2.4,3.13358,5963,29.7,"major_purchase","RENT",1,1,7,5.6,"default",2,"major_purchase","RENT"," > 1 Year",0.7
"8","Charged Off",15000,"36 months",60000,15.22,10.2928,5872,57.6,"debt_consolidation","RENT",1,1,7,4.4,"default",10,"debt_consolidation","RENT"," > 1 Year",0.5
"9","Charged Off",5000,"60 months",50004,13.97,2.96736,4345,59.5,"other","RENT",0,1,14,3.4,"default",3,"other","RENT"," > 1 Year",0.45
"10","Charged Off",5000,"36 months",100000,16.33,1.90524,74351,62.1,"debt_consolidation","MORTGAGE",1,1,17,7,"default",11,"debt_consolidation","MORTGAGE"," > 1 Year",0.5
"11","Default",15000,"36 months",80000,9.12,7.2507,11845,63.7,"debt_consolidation","MORTGAGE",1,1,9,5.2,"default",9,"debt_consolidation","MORTGAGE"," > 1 Year",0.55
"12","Charged Off",12000,"36 months",50000,20.88,10.1196,15793,90.8,"car","RENT",1,1,11,5,"default",5,"major_purchase","RENT"," > 1 Year",0.4
"13","Charged Off",21000,"60 months",50000,21.58,13.3279,19448,97.6,"debt_consolidation","RENT",1,1,7,2.8,"default",8,"debt_consolidation","RENT"," > 1 Year",0.3
"14","Charged Off",12500,"60 months",30000,13.16,8.9244,9844,70.8,"debt_consolidation","RENT",1,0,7,3.6,"default",6,"debt_consolidation","RENT"," > 1 Year",0.55
"15","Charged Off",8200,"60 months",75000,12.48,3.57024,9012,73.9,"small_business","RENT",1,1,6,1.4,"default",5,"small_business","RENT"," > 1 Year",0.5
"16","Charged Off",6400,"36 months",75000,20.22,3.6392,7159,67.5,"debt_consolidation","RENT",1,1,9,3.4,"default",6,"debt_consolidation","RENT"," > 1 Year",0.55
"17","Charged Off",17500,"60 months",45000,21.31,11.6659,20129,86.1,"credit_card","MORTGAGE",1,1,13,3.6,"default",8,"credit_card","MORTGAGE"," > 1 Year",0.5
"18","Charged Off",6200,"36 months",25000,20.64,9.5904,6533,47.7,"debt_consolidation","RENT",1,1,7,5.2,"default",3,"debt_consolidation","RENT"," > 1 Year",0.45
"19","Charged Off",18825,"60 months",38000,23.18,14.7009,11004,79.7,"debt_consolidation","RENT",1,1,6,3.4,"default",11,"debt_consolidation","RENT"," > 1 Year",0.45
"20","Charged Off",10000,"36 months",75000,24.14,5.80448,22828,96.3,"credit_card","RENT",1,1,9,4,"default",2,"credit_card","RENT"," > 1 Year",0.4
"21","Charged Off",19750,"36 months",45000,22.8,17.1555,16576,54.2,"debt_consolidation","RENT",1,1,12,5.4,"default",5,"debt_consolidation","RENT"," > 1 Year",0.3
"22","Charged Off",28000,"60 months",52000,20.7,7.20092,29178,87.6,"debt_consolidation","RENT",1,1,10,2.8,"default",11,"debt_consolidation","RENT"," > 1 Year",0.45
"23","Charged Off",24000,"36 months",90000,9.17,11.244,30952,71.2,"home_improvement","MORTGAGE",1,1,9,5,"default",9,"home_improvement","MORTGAGE"," > 1 Year",0.6
"24","Charged Off",11100,"36 months",41000,29.85,9.97522,17518,62.3,"credit_card","RENT",1,1,8,6.4,"default",11,"credit_card","RENT"," > 1 Year",0.25
